#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2020-08-06-15-46-13
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
1470864770.409628	CQQapP3qOl07BpgySe	10.10.10.108	52169	91.189.88.152	80	tcp	-	0.352042	1	212	RSTO	-	-	0	^hCadfRfR	3	120	8	806	-
1470864763.609507	Cig8Ux2W6EmhRFenth	10.10.10.108	54947	208.77.20.11	80	tcp	-	7.260240	0	2270	SHR	-	-	0	^hCadf	0	0	9	2746	-
1470864770.879668	Co9E0T3CaUVIyP4mO	10.10.10.108	52170	91.189.88.152	80	tcp	-	0.429422	1	211	RSTO	-	-	0	^hCadfRfR	3	120	8	807	-
1470864771.339781	C9SnVp2aaNVF3eHB3e	10.10.10.108	52171	91.189.88.152	80	tcp	-	0.336801	1	212	RSTO	-	-	0	^hCadfRfR	3	120	8	801	-
1470864771.739667	COYgX34ycUcODyHBo8	10.10.10.108	52172	91.189.88.152	80	tcp	-	0.392056	1	210	RSTO	-	-	0	^hCadfRfR	3	120	8	805	-
1470864761.059525	CiYiNT12MN7clegWwk	10.10.10.108	43379	210.32.158.231	80	tcp	-	11.370127	0	6352	SHR	-	-	0	^hCadCf	0	0	30	7564	-
1470864772.179834	CJYbAf3ZZLOGDftb03	10.10.10.108	52173	91.189.88.152	80	tcp	-	0.428219	1	212	RSTO	-	-	0	^hCadfRfR	3	120	8	805	-
1470864772.669759	CWNZe84Ae5r3HgXcD3	10.10.10.108	52174	91.189.88.152	80	tcp	-	0.400097	1	211	RSTO	-	-	0	^hCadfRfR	3	120	8	806	-
1470864773.569903	CBYu5F2D9kpCi38mw1	10.10.10.108	52163	91.189.88.152	80	tcp	-	3.269956	0	0	SHR	-	-	0	^fCat	0	0	3	366	-
1470864773.159725	Ce9nwu4RF8FZwvDlRi	10.10.10.108	52175	91.189.88.152	80	tcp	-	0.426628	1	211	RSTO	-	-	0	^hCadfRfR	3	120	8	799	-
